|  NGC | ID      | [Fe/H] | e_fe | [O/Fe] |  e_o | [Na/Fe] | e_na | [Mg/Fe] | e_mg | [Al/Fe] | e_al | [Si/Fe] | e_si |
| 6441 | 7004050 |  -0.46 | 0.19 |   0.10 | 0.08 |    0.58 | 0.08 |    0.31 | 0.01 |    0.27 | 0.08 |    0.27 |      |
| 6441 | 7004434 |  -0.38 | 0.23 |   0.32 | 0.11 |    0.38 | 0.10 |    0.34 | 0.06 |    0.23 | 0.15 |    0.17 | 0.09 |
| 6441 | 7004463 |  -0.45 | 0.18 |  -0.15 |      |    0.79 | 0.10 |    0.20 | 0.02 |    0.56 | 0.23 |    0.45 | 0.17 |
| 6441 | 7004487 |  -0.50 | 0.13 |   0.30 | 0.14 |    0.53 |      |    0.41 | 0.09 |    0.19 | 0.16 |    0.33 | 0.06 |
| 6441 | 8002961 |  -0.36 | 0.15 |   0.03 | 0.04 |    0.49 | 0.08 |    0.44 | 0.08 |    0.25 | 0.21 |    0.41 | 0.16 |
| 6388 | 77599   |  -0.40 | 0.16 |  -0.33 | 0.14 |    0.71 | 0.25 |    0.16 | 0.02 |    0.98 | 0.12 |    0.34 | 0.12 |
| 6388 | 83168   |  -0.41 | 0.16 |  -0.20 | 0.16 |    0.49 | 0.18 |    0.16 | 0.08 |    0.74 | 0.02 |    0.37 | 0.21 |
| 6388 | 101131  |  -0.46 | 0.17 |  -0.58 | 0.05 |    0.76 | 0.17 |    0.18 | 0.01 |    0.87 | 0.24 |    0.42 | 0.14 |
| 6388 | 108176  |  -0.52 | 0.18 |  -0.26 | 0.14 |    0.72 | 0.12 |    0.34 | 0.04 |    0.55 | 0.15 |    0.21 | 0.15 |
| 6388 | 108895  |  -0.45 | 0.17 |  -0.42 | 0.05 |    0.50 | 0.16 |    0.19 | 0.05 |    0.68 | 0.14 |    0.25 | 0.15 |
| 6388 | 110677  |  -0.42 | 0.18 |  -0.12 | 0.06 |    0.34 | 0.09 |    0.18 | 0.03 |    0.23 | 0.01 |    0.46 | 0.09 |
| 6388 | 111408  |  -0.43 | 0.19 |  -0.17 | 0.16 |    0.66 | 0.16 |    0.24 | 0.06 |    0.77 | 0.12 |    0.21 | 0.18 |
| 2419 | S1131   |  -2.03 | 0.15 |        |      |   -0.05 | 0.18 |   -0.51 | 0.19 |    0.43 |      |    0.59 | 0.12 |
| 2419 | S1004   |  -2.08 | 0.14 |        |      |    0.08 | 0.02 |   -0.16 | 0.29 |    0.70 |      |    0.42 | 0.03 |
| 2419 | S1065   |  -2.03 | 0.15 |        |      |   -0.02 |      |   -0.73 | 0.14 |         |      |    0.50 | 0.20 |
| 2419 | S458    |  -2.08 | 0.15 |        |      |    0.10 | 0.16 |   -0.42 | 0.14 |    0.51 |      |    0.61 | 0.12 |
| 2419 | S1673   |  -2.18 | 0.11 |        |      |    0.44 | 0.08 |   -0.86 | 0.17 |         |      |    0.79 | 0.17 |
| 2419 | S1814   |  -2.19 | 0.14 |        |      |   -0.01 |      |   -0.88 | 0.19 |    0.55 |      |    0.43 | 0.16 |
| 2419 | S1166   |  -2.00 | 0.13 |        |      |   -0.28 |      |    0.42 | 0.26 |         |      |    0.34 | 0.08 |
| 2419 | S406    |  -2.03 | 0.13 |        |      |    0.06 | 0.14 |    0.36 | 0.22 |    0.78 | 0.08 |    0.23 | 0.18 |
| 2419 | S1209   |  -2.25 | 0.11 |   0.70 |      |    0.30 |      |    0.44 | 0.22 |         |      |         |      |
| 2419 | S223    |  -2.12 | 0.15 |        |      |    0.26 | 0.02 |    0.14 | 0.24 |    0.68 |      |    0.32 | 0.18 |
| 2419 | S810    |  -2.03 | 0.13 |   0.24 | 0.25 |   -0.41 | 0.15 |    0.24 | 0.15 |    0.22 |      |         |      |
| 2419 | S1305   |  -2.18 | 0.18 |        |      |    0.66 | 0.15 |    0.26 | 0.14 |         |      |    0.54 | 0.16 |
| 2419 | S973    |  -2.02 | 0.17 |   0.75 | 0.04 |    0.19 | 0.15 |    0.29 | 0.20 |         |      |    0.24 | 0.37 |

